"","X","age","gender","degree","reason_PhD","studying_in_your_home_country","current_living_location","reasons_to_study_outside_your_country_of_upbringing","job_alongside_studies","main_reason_job","reasons_for_having_a_job","satisfaction_decision","satisfaction_now","how_does_your_program_compare_to_your_expectations","supervisor_relationship","contact_hours","work_life_balance","PhD_weekly_hours","university_supports_work_life_balance","university_has_long_hours_culture","have_you_sought_help_for_anxiety_or_depression_caused_by_your_PhD","did_you_seek_help_within_your_institution","mental_health_and_wellbeing_services_at_my_uni_are_appropriate_to_PhD_students_needs","supervisor_awareness_of_mental_health_services","university_offers_adequate_one_to_one_mental_health_support","university_offers_a_variety_of_support_resources","experienced_bullying_in_PhD","who_was_the_perpetrator","able_to_speak_out_about_bullying_experiences","experienced_discrimination_or_harrasment","which_have_you_experienced"
"3249",3249,"25 - 34","Female (including trans female)","Dual doctorate degree (MD-PhD, PhD-PhD or other combination)","I wanted to continue pursuing my research","Yes","North or Central America",NA,"No",NA,NA,"Somewhat satisfied","Improved slightly","Meets original expectations","6","Less than an hour","3","51-60 hours","Neither agree nor disagree","Strongly agree","Yes","I wanted to, but there was none available","Strongly disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Yes","Another student","No","No",NA
"3250",3250,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"No",NA,"5th","Very satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","2","41-50 hours","Strongly disagree","Strongly agree","Yes","Yes, it was helpful","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Yes","Another student","Yes","Yes","Gender discrimination"
"3251",3251,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Asia (including Middle East)",NA,"No",NA,NA,"Somewhat satisfied","Worsened a little","Meets original expectations","6","More than three hours","4 = Neither satisfied nor dissatisfied","More than 80 hours","Neither agree nor disagree","Somewhat disagree","Yes","Prefer not to say","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Yes","Supervisor","Yes","Yes","Religious discrimination"
"3252",3252,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Very satisfied","Improved greatly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","4 = Neither satisfied nor dissatisfied","41-50 hours","Strongly agree","Strongly agree","No",NA,"Strongly disagree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"3253",3253,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,"4th","Very dissatisfied","Worsened a little","Meets original expectations","6","Less than an hour","4 = Neither satisfied nor dissatisfied","41-50 hours","Somewhat agree","Somewhat disagree","No",NA,"Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"3254",3254,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Europe","To study at a specific university","No",NA,"1st","Very satisfied","Improved slightly","Exceeds original expectations","6","Between one and three hours","5","51-60 hours","Strongly agree","Strongly disagree","No",NA,"Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","No",NA,NA,"No",NA
"3255",3255,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","North or Central America","Higher salaries post-study","No",NA,"3rd","Very satisfied","Stayed the same","Meets original expectations","7 = Extremely satisfied","Between one and three hours","5","21-30 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"3256",3256,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","South America",NA,"Yes","To help make ends meet","5th","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Between one and three hours","3","21-30 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"3257",3257,"35 - 44","Prefer not to say","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Europe","Lack of funding opportunities in my home country","Yes","To help make ends meet","5th","Neither satisfied nor dissatisfied","Stayed the same","Meets original expectations","3","Less than an hour","4 = Neither satisfied nor dissatisfied","41-50 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Yes","Postdoc","No","Yes","Gender discrimination"
"3258",3258,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"No",NA,"4th","Very dissatisfied","Significantly worsened","Does not meet original expectations","1 = Not at all satisfied","Less than an hour","1 = Not at all satisfied","61-70 hours","Strongly disagree","Strongly agree","Yes","No, I sought help elsewhere","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Supervisor","No","No",NA
"3259",3259,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","To study at a specific university","No",NA,"8th","Neither satisfied nor dissatisfied","Improved slightly","Does not meet original expectations","7 = Extremely satisfied","More than three hours","5","41-50 hours","Somewhat agree","Strongly disagree","No",NA,"Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"3260",3260,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Somewhat satisfied","Improved slightly","Does not meet original expectations","5","Between one and three hours","3","71-80 hours","Somewhat agree","Somewhat disagree","Yes","No, I sought help elsewhere","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","No",NA,NA,NA,NA
"3261",3261,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Other, please specify","Yes","Asia (including Middle East)",NA,"No",NA,"4th","Very satisfied","Improved slightly","Meets original expectations","5","Between one and three hours","5","41-50 hours","Neither agree nor disagree","Somewhat agree","Yes","Other, please specify","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Yes","Supervisor","Unsure","Yes",NA
"3262",3262,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"No",NA,"4th","Somewhat satisfied","Worsened a little","Exceeds original expectations","6","Less than an hour","3","41-50 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","No",NA,NA,"No",NA
"3263",3263,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Asia (including Middle East)","Lack of quality PhD programmes in my home country","Yes","Other, please specify","1st","Very dissatisfied","Stayed the same","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","6","61-70 hours","Somewhat agree","Strongly agree","No",NA,"Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"3264",3264,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"Yes","Other, please specify","3rd","Somewhat satisfied","Worsened a little","Meets original expectations","5","Less than an hour","4 = Neither satisfied nor dissatisfied","21-30 hours","Neither agree nor disagree","Strongly disagree","No",NA,"Prefer not to say","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Yes","Other academic staff member","Yes","No",NA
"3265",3265,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","North or Central America","Chance to pursue a specific research question","Yes","To make myself more attractive to future employers","1st","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Less than an hour","3","51-60 hours","Strongly agree","Strongly agree","No",NA,"Somewhat agree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"3266",3266,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"3rd","Somewhat satisfied","Worsened a little","Meets original expectations","6","Between one and three hours","3","51-60 hours","Somewhat agree","Neither agree nor disagree","No",NA,"Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","No",NA,NA,"No",NA
"3267",3267,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"8th","Very satisfied","Improved slightly","Does not meet original expectations","1 = Not at all satisfied","Less than an hour","1 = Not at all satisfied","More than 80 hours","Strongly disagree","Prefer not to say","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Supervisor","No","Yes","Racial discrimination or harassment"
"3268",3268,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","South America",NA,"No",NA,"2nd","Very dissatisfied","Improved slightly","Exceeds original expectations","6","Between one and three hours","6","41-50 hours","Somewhat disagree","Somewhat disagree","No",NA,"Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"3269",3269,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,"6th","Very satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Between one and three hours","5","41-50 hours","Neither agree nor disagree","Somewhat agree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"3270",3270,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,"5th","Very satisfied","Worsened a little","Does not meet original expectations","5","Less than an hour","2","More than 80 hours","Somewhat disagree","Somewhat agree","No",NA,"Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"No",NA
"3271",3271,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"4th","Somewhat satisfied","Significantly worsened","Does not meet original expectations","2","Less than an hour","2","61-70 hours","Strongly disagree","Neither agree nor disagree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Supervisor","No","Yes","Gender discrimination"
"3272",3272,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","North or Central America",NA,"No",NA,"1st","Somewhat satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","More than three hours","3","61-70 hours","Somewhat disagree","Neither agree nor disagree","No",NA,"Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","No",NA,NA,"No",NA
"3273",3273,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Asia (including Middle East)","Chance to pursue a specific research question","Yes","To help make ends meet",NA,"Somewhat satisfied","Significantly worsened","Does not meet original expectations","7 = Extremely satisfied","Between one and three hours","4 = Neither satisfied nor dissatisfied","61-70 hours","Strongly disagree","Strongly disagree","Yes","Yes, but I didn’t feel supported","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Yes","Another student","No","Yes","Racial discrimination or harassment"
"3274",3274,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","Europe","Higher salaries post-study","No",NA,"1st","Somewhat satisfied","Significantly worsened","Meets original expectations","1 = Not at all satisfied","More than three hours","1 = Not at all satisfied","51-60 hours","Strongly agree","Neither agree nor disagree","Yes","Yes, it was helpful","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
